# gpu=Tesla T4, cc=7.5, driver=13.0, toolkit=12.8
device,mode,d,n,k,time_ms,gflops,slowdown_vs_d1
gpu,branch,1,16777216,1024,6.36928,5394.60,1.000
gpu,branch,2,16777216,1024,9.32637,3684.15,1.464
gpu,branch,4,16777216,1024,17.85582,1924.29,2.803
gpu,branch,8,16777216,1024,34.21419,1004.25,5.372
gpu,branch,16,16777216,1024,67.92277,505.86,10.664
gpu,branch,32,16777216,1024,135.82227,252.98,21.325
gpu,looplen,1,16777216,1024,5.02754,6834.31,1.000
gpu,looplen,2,16777216,1024,7.00034,4908.30,1.392
gpu,looplen,4,16777216,1024,8.03482,4276.36,1.598
gpu,looplen,8,16777216,1024,8.67874,3959.07,1.726
gpu,looplen,16,16777216,1024,9.18206,3742.05,1.826
gpu,looplen,32,16777216,1024,9.64366,3562.93,1.918
# cpu baseline, omp_max_threads=2
cpuN,branch,1,262144,1024,187.22221,2.87,1.000
cpuN,branch,2,262144,1024,186.87917,2.87,0.998
cpuN,branch,4,262144,1024,328.47555,1.63,1.754
cpuN,branch,8,262144,1024,191.90503,2.80,1.025
cpuN,branch,16,262144,1024,193.32117,2.78,1.033
cpuN,branch,32,262144,1024,191.95278,2.80,1.025
cpuN,looplen,1,262144,1024,205.66082,2.61,1.000
cpuN,looplen,2,262144,1024,257.51496,2.08,1.252
cpuN,looplen,4,262144,1024,196.74027,2.73,0.957
cpuN,looplen,8,262144,1024,192.03667,2.80,0.934
cpuN,looplen,16,262144,1024,194.38124,2.76,0.945
cpuN,looplen,32,262144,1024,300.16151,1.79,1.459
