# gpu=Tesla T4, cc=7.5, driver=13.0, toolkit=12.8
knob,block,smem_bytes,active_warps_per_sm,occupancy,time_ms,gbps
block,32,0,16,0.500,2.95710,181.55
block,64,0,32,1.000,2.91146,184.40
block,128,0,32,1.000,2.89651,185.35
block,256,0,32,1.000,2.91206,184.36
block,512,0,32,1.000,2.89317,185.57
block,1024,0,32,1.000,2.94158,182.51
smem,128,65536,4,0.125,5.57747,96.26
smem,128,32768,8,0.250,3.44768,155.72
smem,128,16384,16,0.500,2.90955,184.52
smem,128,10922,20,0.625,2.91528,184.16
smem,128,9362,24,0.750,2.95654,181.59
smem,128,0,32,1.000,2.88680,185.97
smem,256,65536,8,0.250,3.45184,155.53
smem,256,32768,16,0.500,2.86992,187.07
smem,256,0,32,1.000,2.92771,183.38
